Date,RPI,GDP,Interest,Output
1/3/1959,2.1,0.5,4,0.409836066
1/6/1959,-0.3,1.6,4,2.857142857
1/9/1959,0.6,2.1,4,0.992063492
1/12/1959,0,2.5,4,4.911591356
1/3/1960,-0.5,2.4,5,1.685393258
1/6/1960,1.1,-0.7,6,0
1/9/1960,1.5,1.5,6,0.368324125
1/12/1960,1.8,0.6,5,1.100917431
1/3/1961,2.4,1.6,5,-1.451905626
1/6/1961,3,0.4,5,1.473296501
1/9/1961,4.2,-0.5,7,-0.181488203
1/12/1961,4.3,-0.2,6,-0.909090909
1/3/1962,4.7,0.5,5,0
1/6/1962,5.6,0.9,4.5,1.651376147
1/9/1962,3.9,0.6,4.5,0.722021661
1/12/1962,2.6,-0.4,4.5,-1.075268817
1/3/1963,3.1,0.5,4,-0.905797101
1/6/1963,1.6,4.3,4,3.10786106
1/9/1963,1.3,0.5,4,2.836879433
1/12/1963,2.1,2.2,4,2.24137931
1/3/1964,1.5,0.6,5,3.204047218
1/6/1964,2.8,1.7,5,-0.326797386
1/9/1964,4.4,0.4,5,1.147540984
1/12/1964,4.5,1.5,7,2.593192869
1/3/1965,4.5,-0.3,7,0
1/6/1965,5.2,0.1,6,0
1/9/1965,4.8,0.8,6,0.157977883
1/12/1965,4.6,0.6,6,1.261829653
1/3/1966,4.4,0.2,6,1.090342679
1/6/1966,3.8,0.6,6,-0.154083205
1/9/1966,3.7,0.3,7,0.308641975
1/12/1966,3.8,-0.4,7,-2.461538462
1/3/1967,3.6,1.4,6,1.261829653
1/6/1967,2.5,1.4,5.5,0.934579439
1/9/1967,1.7,0.4,5.5,-0.154320988
1/12/1967,2.1,0.5,8,2.472952087
1/3/1968,3,3.6,7.5,3.921568627
1/6/1968,4.5,-0.4,7.5,1.306240929
1/9/1968,5.6,2,7,1.00286533
1/12/1968,5.6,0.4,7,0.283687943
1/3/1969,6.2,-0.2,8,1.414427157
1/6/1969,5.4,0.7,8,1.813110181
1/9/1969,5.1,0.6,8,-0.684931507
1/12/1969,5.2,0.5,8,-0.413793103
1/3/1970,5,-0.6,7.5,0.27700831
1/6/1970,5.9,2.4,7,0.276243094
1/9/1970,6.8,1,7,0.275482094
1/12/1970,7.7,0.9,7,0.412087912
1/3/1971,8.6,-0.6,7,-0.957592339
1/6/1971,9.8,1.8,6,0.138121547
1/9/1971,10.1,1.7,5,-0.275862069
1/12/1971,9.2,0.4,5,-0.276625173
1/3/1972,8,0.1,5,-4.715672677
1/6/1972,6.2,2.7,6,7.569141194
1/9/1972,6.5,0.3,6,0.947225981
1/12/1972,7.7,1.6,9,3.485254692
1/3/1973,7.9,5,8.5,3.626943005
1/6/1973,9.3,0.1,7.5,0.125
1/9/1973,9.2,-1,11.5,0.624219725
1/12/1973,10.3,-0.4,13,-0.372208437
1/3/1974,12.9,-2.7,12.5,-7.098381071
1/6/1974,15.9,1.4,11.75,8.713136729
1/9/1974,17,0.6,11.5,-0.246609125
1/12/1974,18.2,-1.5,11.5,-3.708281829
1/3/1975,20.3,0,10,-1.412066752
1/6/1975,24.3,-1.6,10,-3.90625
1/9/1975,26.6,-0.3,11,-1.490514905
1/12/1975,25.3,1.1,11.25,1.925722146
1/3/1976,22.5,1.6,9,1.214574899
1/6/1976,16,-0.2,11.5,1.866666667
1/9/1976,13.7,1.2,13,0
1/12/1976,14.9,2.1,14.25,3.926701571
1/3/1977,16.5,0,9.5,2.392947103
1/6/1977,17.4,-0.7,8,-0.61500615
1/9/1977,16.6,0.7,6,-0.618811881
1/12/1977,13.1,1.7,7,0.373599004
1/3/1978,9.5,0.9,6.5,0.372208437
1/6/1978,7.7,1.2,10,3.090234858
1/9/1978,7.9,1.4,10,0.839328537
1/12/1978,8.1,0.9,12.5,-0.237812128
1/3/1979,9.6,-0.4,13,0.357568534
1/6/1979,10.6,4.4,14,4.750593824
1/9/1979,16,-2.2,14,-2.040816327
1/12/1979,17.3,1,17,0
1/3/1980,19.1,-1,17,-1.62037037
1/6/1980,21.6,-2,17,-3.882352941
1/9/1980,16.4,-0.1,16,-3.549571603
1/12/1980,15.3,-1.1,14,-2.284263959
1/3/1981,12.7,-0.2,12,0
1/6/1981,11.7,0.2,12,0.519480519
1/9/1981,11.3,1.1,14,1.42118863
1/12/1981,11.9,0.1,14.375,1.146496815
1/3/1982,11.1,0.2,13.25,-0.881612091
1/6/1982,9.4,1.1,12.625,1.778907243
1/9/1982,8,0.3,10.125,0
1/12/1982,6.2,0.7,10,-0.873907615
1/3/1983,4.9,1.8,10.5625,2.141057935
1/6/1983,3.8,0.9,9.5625,0.986436498
1/9/1983,4.6,1.1,9.5625,1.221001221
1/12/1983,5,0.9,9.0625,1.447527141
1/3/1984,5.1,0.7,8.5625,0.713436385
1/6/1984,5.1,-0.9,8.875,-3.18772137
1/9/1984,4.7,0.7,10.5,-0.975609756
1/12/1984,4.8,2,9.5,1.231527094
1/3/1985,5.5,0.8,12.875,3.527980535
1/6/1985,7,2.1,12.375,3.995299647
1/9/1985,6.3,0.1,11.375,-1.016949153
1/12/1985,5.5,0.2,11.375,-0.684931507
1/3/1986,4.9,1.1,11.375,0.689655172
1/6/1986,2.8,0.7,9.875,1.484018265
1/9/1986,2.6,0.4,9.875,0.337457818
1/12/1986,3.4,1.8,10.875,1.905829596
1/3/1987,3.9,0.9,9.875,0.220022002
1/6/1987,4.2,1.4,8.875,0.987925357
1/9/1987,4.3,2.4,9.875,1.739130435
1/12/1987,4.1,1.1,8.375,0.854700855
1/3/1988,3.4,1.8,8.375,1.271186441
1/6/1988,4.2,0.6,8.875,0.732217573
1/9/1988,5.5,1.5,11.875,2.180685358
1/12/1988,6.5,0.9,12.875,0.304878049
1/3/1989,7.7,0.4,12.875,0.202634245
1/6/1989,8.2,0.7,13.75,0
1/9/1989,7.7,0.1,13.75,0.606673407
1/12/1989,7.6,0.1,14.875,0.301507538
1/3/1990,7.8,0.7,14.875,-0.801603206
1/6/1990,9.6,0.5,14.875,1.414141414
1/9/1990,10.4,-1,14.875,-1.693227092
1/12/1990,10,-0.3,13.875,-0.911854103
1/3/1991,8.7,-0.3,12.375,-1.124744376
1/6/1991,6,-0.1,11.375,-1.13753878
1/9/1991,4.8,-0.2,10.375,-0.941422594
1/12/1991,4.2,0.2,10.375,1.055966209
1/3/1992,4.1,0,10.375,0
1/6/1992,4.2,-0.1,9.875,-0.417972832
1/9/1992,3.6,0.6,8.875,1.049317943
1/12/1992,3.1,0.7,6.875,0.41536864
1/3/1993,1.8,0.7,5.875,0.310237849
1/6/1993,1.3,0.5,5.875,0.309278351
1/9/1993,1.6,0.8,5.875,1.130524152
1/12/1993,1.6,0.7,5.375,1.219512195
1/3/1994,2.4,1.2,5.125,1.40562249
1/6/1994,2.6,1.2,5.125,2.178217822
1/9/1994,2.3,1.1,5.625,0.775193798
1/12/1994,2.6,0.6,6.125,1.25
1/3/1995,3.4,0.3,6.625,-1.044634378
1/6/1995,3.4,0.4,6.625,0.863723608
1/9/1995,3.7,1,6.625,0.380589914
1/12/1995,3.2,0.3,6.375,0.379146919
1/3/1996,2.8,0.9,5.9375,0.661000944
1/6/1996,2.2,0.3,5.6875,-0.562851782
1/9/1996,2.1,0.7,5.6875,0.377358491
1/12/1996,2.6,1,5.9375,1.033834586
1/3/1997,2.7,1.9,5.9375,0.558139535
1/6/1997,2.6,0.9,6.5,-0.555041628
1/9/1997,3.5,0.5,7,0.558139535
1/12/1997,3.7,1,7.25,0.46253469
1/3/1998,3.4,0.8,7.25,0.920810313
1/6/1998,4,0.9,7.5,-0.091240876
1/9/1998,3.3,0.7,7.5,-0.456621005
1/12/1998,3,1,6.25,-0.091743119
1/3/1999,2.2,0.6,5.5,0
1/6/1999,1.4,0.1,5,0.275482094
1/9/1999,1.2,1.8,5.25,2.106227106
1/12/1999,1.5,1.4,5.5,0.538116592
1/3/2000,2.3,0.8,6,0.089206066
1/6/2000,3.1,0.6,6,0.356506239
1/9/2000,3.2,0.3,6,-0.26642984
1/12/2000,3.1,0.2,6,0.267141585
1/3/2001,2.6,1.3,5.75,-0.444049734
1/6/2001,1.9,0.8,5.25,-1.248884924
1/9/2001,1.8,0.7,4.75,0
1/12/2001,1,0.4,4,-1.35501355
1/3/2002,1.2,0.5,4,0.366300366
1/6/2002,1.2,0.7,4,-0.364963504
1/9/2002,1.5,0.8,4,0
1/12/2002,2.5,0.9,4,-0.549450549
1/3/2003,3,0.7,3.75,-0.460405157
1/6/2003,3,0.9,3.75,-0.185013876
1/9/2003,2.9,1,3.5,0.741427247
1/12/2003,2.6,0.8,3.75,0.551977921
1/3/2004,2.6,0.5,4,0.365965233
1/6/2004,2.8,0.4,4.5,0.273473108
1/9/2004,3.1,0.2,4.75,-1.636363636
1/12/2004,3.4,0.3,4.75,0.739371534
1/3/2005,3.2,0.9,4.75,-0.733944954
1/6/2005,3,1.1,4.75,1.109057301
1/9/2005,2.8,1.2,4.5,-1.371115174
1/12/2005,2.4,1.5,4.5,0.556070436
1/3/2006,2.4,0.3,4.5,0.829493088
1/6/2006,3,0.2,4.5,-0.457038391
1/9/2006,3.5,0.1,4.75,0.183654729
1/12/2006,4,0.4,5,0.091659028
1/3/2007,4.5,1,5.25,0.274725275
1/6/2007,4.4,0.7,5.5,0.091324201
1/9/2007,3.9,0.8,5.75,-0.45620438
1/12/2007,4.2,0.8,5.5,0.54995417
1/3/2008,4,0.4,5.25,-0.364630811
1/6/2008,4.4,-0.7,5,-0.731930467
1/9/2008,5,-1.6,5,-1.198156682
1/12/2008,2.7,-2.2,2,-4.570895522
1/3/2009,-0.1,-1.7,0.5,-4.789833822
1/6/2009,-1.3,-0.2,0.5,0.205338809
1/9/2009,-1.4,0.1,0.5,-1.024590164
1/12/2009,0.6,0.3,0.5,0.931677019
1/3/2010,4,0.5,0.5,1.743589744
1/6/2010,5.1,0.9,0.5,1.108870968
1/9/2010,4.7,0.6,0.5,0.299102692
1/12/2010,4.7,0.1,0.5,0.994035785
1/3/2011,5.3,0.7,0.5,-0.688976378
1/6/2011,5.1,0.1,0.5,-0.991080278
1/9/2011,5.2,0.3,0.5,-0.500500501
1/12/2011,5.1,0.2,0.5,-0.402414487
1/3/2012,3.8,0.6,0.5,-0.505050505
1/6/2012,3.1,-0.1,0.5,-1.218274112
1/9/2012,2.9,1.2,0.5,0.205549846
1/12/2012,3.1,-0.2,0.5,-2.358974359
1/3/2013,3.3,0.6,0.5,0.31512605
1/6/2013,3.1,0.5,0.5,0.732984293
1/9/2013,3.2,0.9,0.5,0.623700624
1/12/2013,2.6,0.5,0.5,0.41322314
1/3/2014,2.6,0.8,0.5,0.205761317
1/6/2014,2.5,0.8,0.5,0.410677618
1/9/2014,2.4,0.7,0.5,0.306748466
1/12/2014,1.9,0.7,0.5,0.203873598
1/3/2015,1,0.4,0.5,0.508646999
1/6/2015,1,0.6,0.5,0.708502024
1/9/2015,0.9,0.4,0.5,-0.301507538
1/12/2015,1,0.7,0.5,-0.60483871
1/3/2016,1.4,0.3,0.5,0
1/6/2016,1.4,0.2,0.5,1.926977688
1/9/2016,1.9,0.5,0.25,-0.39800995
1/12/2016,2.2,0.7,0.25,0.599400599
1/3/2017,3,0.4,0.25,0.297914598
1/6/2017,3.5,0.3,0.25,0.198019802
1/9/2017,3.8,0.5,0.25,0.988142292
1/12/2017,4,0.4,0.5,0.684931507
1/3/2018,3.7,0.1,0.5,0.09718173
1/6/2018,3.4,0.4,0.5,-0.582524272
1/9/2018,3.3,0.6,0.75,0.5859375
1/12/2018,3.1,0.2,0.75,-1.067961165
