Year,Month,Net Borrowing,Expenditure On R&D,Net Debt,Balance Of Payments,RPI,Output Per Worker,House Prices,Wage - Annual Growth,Infex Of Production,Unemployed,Net Investment By UK Institutions,GDP
1949,1,,,,,,,,6.10,,,,
1949,2,,,,,,,,6.02,,,,
1949,3,,,,,,,,5.93,,,,
1949,4,,,,,,,,5.85,,,,
1949,5,,,,,,,,5.77,,,,
1949,6,,,,,,,,5.68,,,,
1949,7,,,,,,,,5.60,,,,
1949,8,,,,,,,,5.52,,,,
1949,9,,,,,,,,5.43,,,,
1949,10,,,,,,,,5.35,,,,
1949,11,,,,,,,,5.27,,,,
1949,12,,,,,,,,5.18,,,,
1950,1,,,,,,,,5.10,,,,
1950,2,,,,,,,,5.65,,,,
1950,3,,,,,,,,6.20,,,,
1950,4,,,,,,,,6.75,,,,
1950,5,,,,,,,,7.30,,,,
1950,6,,,,,,,,7.85,,,,
1950,7,,,,,,,,8.40,,,,
1950,8,,,,,,,,8.95,,,,
1950,9,,,,,,,,9.50,,,,
1950,10,,,,,,,,10.05,,,,
1950,11,,,,,,,,10.60,,,,
1950,12,,,,,,,,11.15,,,,
1951,1,,,,,,,,11.70,,,,
1951,2,,,,,,,,11.31,,,,
1951,3,,,,,,,,10.92,,,,
1951,4,,,,,,,,10.53,,,,
1951,5,,,,,,,,10.13,,,,
1951,6,,,,,,,,9.74,,,,
1951,7,,,,,,,,9.35,,,,
1951,8,,,,,,,,8.96,,,,
1951,9,,,,,,,,8.57,,,,
1951,10,,,,,,,,8.18,,,,
1951,11,,,,,,,,7.78,,,,
1951,12,,,,,,,,7.39,,,,
1952,1,,,,,,,,7.00,,,,
1952,2,,,,,,,,6.88,,,,
1952,3,,,,,,,,6.77,,,,
1952,4,,,,,,,,6.65,,,,
1952,5,,,,,,,,6.53,,,,
1952,6,,,,,,,,6.42,,,,
1952,7,,,,,,,,6.30,,,,
1952,8,,,,,,,,6.18,,,,
1952,9,,,,,,,,6.07,,,,
1952,10,,,,,,,,5.95,,,,
1952,11,,,,,,,,5.83,,,,
1952,12,,,,,,,,5.72,,,,
1953,1,,,,,,,,5.60,,,,
1953,2,,,,,,,,5.71,,,,
1953,3,,,,,,,,5.82,,,,
1953,4,,,,,,,,5.93,,,,
1953,5,,,,,,,,6.03,,,,
1953,6,,,,,,,,6.14,,,,
1953,7,,,,,,,,6.25,,,,
1953,8,,,,,,,,6.36,,,,
1953,9,,,,,,,,6.47,,,,
1953,10,,,,,,,,6.58,,,,
1953,11,,,,,,,,6.68,,,,
1953,12,,,,,,,,6.79,,,,
1954,1,,,,,,,,6.90,,,,
1954,2,,,,,,,,7.10,,,,
1954,3,,,,,,,,7.30,,,,
1954,4,,,,,,,,7.50,,,,
1954,5,,,,,,,,7.70,,,,
1954,6,,,,,,,,7.90,,,,
1954,7,,,,,,,,8.10,,,,
1954,8,,,,,,,,8.30,,,,
1954,9,,,,,,,,8.50,,,,
1954,10,,,,,,,,8.70,,,,
1954,11,,,,,,,,8.90,,,,
1954,12,,,,,,,,9.10,,,,
1955,1,,,,,,,,9.30,,,,4727.00
1955,2,,,,,,,,9.28,,,,4735.00
1955,3,,,,,,,,9.25,,,,4743.00
1955,4,,,,,,,,9.23,,,,4751.00
1955,5,,,,,,,,9.20,,,,4808.00
1955,6,,,,,,,,9.18,,,,4865.00
1955,7,,,,,,,,9.15,,,,4922.00
1955,8,,,,,,,,9.13,,,,4953.33
1955,9,,,,,,,,9.10,,,,4984.67
1955,10,,,,,,,,9.08,,,,5016.00
1955,11,,,,,,,,9.05,,,,5057.67
1955,12,,,,,,,,9.03,,,,5099.33
1956,1,,,,,,,,9.00,,,,5141.00
1956,2,,,,,,,,8.71,,,,5165.33
1956,3,,,,,,,,8.42,,,,5189.67
1956,4,,,,,,,,8.13,,,,5214.00
1956,5,,,,,,,,7.83,,,,5242.67
1956,6,,,,,,,,7.54,,,,5271.33
1956,7,,,,,,,,7.25,,,,5300.00
1956,8,,,,,,,,6.96,,,,5344.00
1956,9,,,,,,,,6.67,,,,5388.00
1956,10,,,,,,,,6.38,,,,5432.00
1956,11,,,,,,,,6.08,,,,5434.67
1956,12,,,,,,,,5.79,,,,5437.33
1957,1,,,,,,,,5.50,,,,5440.00
1957,2,,,,,,,,5.30,,,,5467.33
1957,3,,,,,,,,5.10,,,,5494.67
1957,4,,,,,,,,4.90,,,,5522.00
1957,5,,,,,,,,4.70,,,,5560.67
1957,6,,,,,,,,4.50,,,,5599.33
1957,7,,,,,,,,4.30,,,,5638.00
1957,8,,,,,,,,4.10,,,,5680.33
1957,9,,,,,,,,3.90,,,,5722.67
1957,10,,,,,,,,3.70,,,,5765.00
1957,11,,,,,,,,3.50,,,,5797.67
1957,12,,,,,,,,3.30,,,,5830.33
1958,1,,,,,,,,3.10,,,,5863.00
1958,2,,,,,,,,3.23,,,,5838.33
1958,3,,,,,,,,3.37,,,,5813.67
1958,4,,,,,,,,3.50,,,,5789.00
1958,5,,,,,,,,3.63,,,,5825.33
1958,6,,,,,,,,3.77,,,,5861.67
1958,7,,,,,,,,3.90,,,,5898.00
1958,8,,,,,,,,4.03,,,,5915.33
1958,9,,,,,,,,4.17,,,,5932.67
1958,10,,,,,,,,4.30,,,,5950.00
1958,11,,,,,,,,4.43,,,,5952.00
1958,12,,,,,,,,4.57,,,,5954.00
1959,1,,,,,,,,4.70,,,,5956.00
1959,2,,,,,,,,4.94,,,,6021.67
1959,3,,,,,,,,5.18,,,,6087.33
1959,4,,,,,,,,5.43,,,,6153.00
1959,5,,,,,,,,5.67,,,,6157.00
1959,6,,,,,,,,5.91,,,,6161.00
1959,7,,,,,,,,6.15,,,,6165.00
1959,8,,,,,,,,6.39,,,,6236.67
1959,9,,,,,,33.50,,6.63,,,,6308.33
1959,10,,,,,,33.70,,6.88,,,,6380.00
1959,11,,,,,,33.90,,7.12,,,,6415.33
1959,12,,,,,,34.10,,7.36,,,,6450.67
1960,1,,,,,,34.33,,7.60,,,,6486.00
1960,2,,,,,,34.57,,7.63,,,,6507.33
1960,3,,,,,,34.80,,7.65,,,,6528.67
1960,4,,,,,,34.70,,7.68,,,,6550.00
1960,5,,,,,,34.60,,7.70,,,,6582.33
1960,6,,,,,,34.50,,7.73,,,,6614.67
1960,7,,,,,,34.63,,7.75,,,,6647.00
1960,8,,,,,,34.77,,7.78,,,,6695.67
1960,9,,,,,,34.90,,7.80,,,,6744.33
1960,10,,,,,,34.93,,7.83,,,,6793.00
1960,11,,,,,,34.97,,7.85,,,,6846.00
1960,12,,,,,,35.00,,7.88,,,,6899.00
1961,1,,,,,,35.13,,7.90,,,,6952.00
1961,2,,,,,,35.27,,7.68,,,,6943.67
1961,3,,,,,,35.40,,7.47,,,,6935.33
1961,4,,,,,,35.43,,7.25,,,,6927.00
1961,5,,,,,,35.47,,7.03,,,,7006.67
1961,6,,,,,,35.50,,6.82,,,,7086.33
1961,7,,,,,,35.43,,6.60,,,,7166.00
1961,8,,,,,,35.37,,6.38,,,,7143.00
1961,9,,,,,,35.30,,6.17,,,,7120.00
1961,10,,,,,,35.30,,5.95,,,,7097.00
1961,11,,,,,,35.30,,5.73,,,,7126.00
1961,12,,,,,,35.30,,5.52,,,,7155.00
1962,1,,,,,,35.33,,5.30,,,,7184.00
1962,2,,,,,,35.37,,5.26,,,,7242.00
1962,3,,,,,,35.40,,5.22,,,,7300.00
1962,4,,,,,,35.47,,5.18,,,,7358.00
1962,5,,,,,,35.53,,5.13,,,,7384.33
1962,6,,,,,,35.60,,5.09,,,,7410.67
1962,7,,,,,,35.67,,5.05,,,,7437.00
1962,8,,,,,,35.73,,5.01,,,,7451.67
1962,9,,,,,,35.80,,4.97,,,,7466.33
1962,10,,,,,,35.80,,4.93,,,,7481.00
1962,11,,,,,,35.80,,4.88,,,,7461.67
1962,12,,,,,,35.80,,4.84,,,,7442.33
1963,1,,,,,,35.97,,4.80,,,,7423.00
1963,2,,,,,,36.13,,5.10,,,,7549.67
1963,3,,,,,,36.30,,5.40,,,,7676.33
1963,4,,,,,,36.73,,5.70,,,,7803.00
1963,5,,,,,,37.17,,6.00,,,,7843.00
1963,6,,,,,,37.60,,6.30,,,,7883.00
1963,7,,,,,,37.60,,6.60,,,,7923.00
1963,8,,,,,,37.60,,6.90,,,,8007.00
1963,9,,,,,,37.60,,7.20,,,,8091.00
1963,10,,,,,,37.83,,7.50,,,,8175.00
1963,11,,,,,,38.07,,7.80,,,,8181.33
1963,12,,,,,,38.30,,8.10,,,,8187.67
1964,1,,,,,,38.40,,8.40,,,,8194.00
1964,2,,,,,,38.50,,8.33,,,,8287.33
1964,3,,,,,,38.60,,8.25,,,,8380.67
1964,4,,,,,,38.73,,8.18,,,,8474.00
1964,5,,,,,,38.87,,8.10,,,,8536.33
1964,6,,,,,,39.00,,8.03,,,,8598.67
1964,7,,,,,,39.00,,7.95,,,,8661.00
1964,8,,,,,,39.00,,7.88,,,,8743.33
1964,9,,,,,,39.00,,7.80,,,,8825.67
1964,10,,,,,,39.10,,7.73,,,,8908.00
1964,11,,,,,,39.20,,7.65,,,,8962.33
1964,12,,,,,,39.30,,7.58,,,,9016.67
1965,1,,,,,,39.30,,7.50,,,,9071.00
1965,2,,,,,,39.30,,7.45,,,,9086.00
1965,3,,,,,,39.30,,7.40,,,,9101.00
1965,4,,,,,,39.33,,7.35,,,,9116.00
1965,5,,,,,,39.37,,7.30,,,,9189.00
1965,6,,,,,,39.40,,7.25,,,,9262.00
1965,7,,,,,,39.50,,7.20,,,,9335.00
1965,8,,,,,,39.60,,7.15,,,,9394.67
1965,9,,,,,,39.70,,7.10,,,,9454.33
1965,10,,,,,,39.73,,7.05,,,,9514.00
1965,11,,,,,,39.77,,7.00,,,,9560.00
1965,12,,,,,,39.80,,6.95,,,,9606.00
1966,1,,,,,,39.77,,6.90,,,,9652.00
1966,2,,,,,,39.73,,6.64,,,,9706.33
1966,3,,,,,,39.70,,6.38,,,,9760.67
1966,4,,,,,,39.73,,6.13,,,,9815.00
1966,5,,,,,,39.77,,5.87,,,,9876.33
1966,6,,,,,,39.80,,5.61,,,,9937.67
1966,7,,,,,,39.87,,5.35,,,,9999.00
1966,8,,,,,,39.93,,5.09,,,,10035.00
1966,9,,,,,,40.00,,4.83,,,,10071.00
1966,10,,,,,,40.03,,4.58,,,,10107.00
1966,11,,,,,,40.07,,4.32,,,,10142.67
1966,12,,,,,,40.10,,4.06,,,,10178.33
1967,1,,,,,,40.30,,3.80,,,,10214.00
1967,2,,,,,,40.50,,4.03,,,,10298.00
1967,3,,,,,,40.70,,4.25,,,,10382.00
1967,4,,,,,,40.90,,4.48,,,,10466.00
1967,5,,,,,,41.10,,4.70,,,,10488.67
1967,6,,,,,,41.30,,4.93,,,,10511.33
1967,7,,,,,,41.37,,5.15,,,,10534.00
1967,8,,,,,,41.43,,5.38,,,,10585.00
