Year,GDP,Month,Expenditure On R&D,Net Debt,Output Per Worker,House Prices,Wage - Annual Growth,Infex Of Production,Unemployed
1981,69926,1,6021,111.2,55.93,95293.79,7.5,76.5,2330
1981,70368.67,2,6047.75,112.5,56.07,94273.08,7.43,77.2,2403
1981,70811.33,3,6074.5,113.8,56.2,93252.38,7.35,77.2,2476
1981,71254,4,6101.25,114.75,56.43,92231.68,7.28,77.6,2544
1981,71904,5,6128,115.7,56.67,91858.13,7.2,76.4,2588
1981,72554,6,6154.75,116.65,56.9,91484.57,7.13,78.1,2624
1981,73204,7,6181.5,117.6,57.23,91111.02,7.05,78.4,2654
1981,73974.33,8,6208.25,118.55,57.57,89890.79,6.98,78.5,2684
1981,74744.67,9,6235,119.5,57.9,88670.56,6.9,78.7,2713
1981,75515,10,6261.75,120.45,58.07,87450.33,6.83,80.5,2740
1981,76151.67,11,6288.5,121.4,58.23,87426.65,6.75,79.5,2761
1981,76788.33,12,6315.25,122.35,58.4,87402.98,6.68,78.3,2780
1982,77425,1,6342,123.3,58.47,87379.3,6.6,78.4,2792
1982,77912.33,2,6368.83,124.25,58.53,87071.9,6.64,78.9,2803
1982,78399.67,3,6395.67,125.2,58.6,86764.49,6.68,79,2813
1982,78887,4,6422.5,125.81,58.93,86457.08,6.73,80,2824
1982,79371,5,6449.33,126.42,59.27,86653.67,6.77,80.7,2841
1982,79855,6,6476.17,127.03,59.6,86850.25,6.81,79.7,2857
1982,80339,7,6503,127.63,59.8,87046.84,6.85,79.7,2877
1982,81079,8,6529.83,128.24,60,87540.61,6.89,80.3,2897
1982,81819,9,6556.67,128.85,60.2,88034.38,6.93,80.4,2917
1982,82559,10,6583.5,129.46,60.43,88528.15,6.98,79.9,2938
1982,83573.33,11,6610.33,130.07,60.67,89221.12,7.02,78.5,2960
1982,84587.67,12,6637.17,130.68,60.9,89914.09,7.06,79.7,2976
1983,85602,1,6664,131.28,61.4,90607.06,7.1,80.7,2988
1983,85848.33,2,6713.08,131.89,61.9,91213.6,7.11,81.8,2998
1983,86094.67,3,6762.17,132.5,62.4,91820.14,7.12,80.7,3008
1983,86341,4,6811.25,133.43,62.5,92426.68,7.13,81.6,3023
1983,87045.67,5,6860.33,134.35,62.6,92907.78,7.13,82.6,3049
1983,87750.33,6,6909.42,135.28,62.7,93388.87,7.14,81.4,3074
1983,88455,7,6958.5,136.2,62.8,93869.97,7.15,82.7,3093
1983,89207,8,7007.58,137.13,62.9,94000.6,7.16,82.8,3109
1983,89959,9,7056.67,138.05,63,94131.23,7.17,83.2,3125
1983,90711,10,7105.75,138.98,63,94261.87,7.18,84,3146
1983,90985.33,11,7154.83,139.9,63,95229.97,7.18,83.9,3167
1983,91259.67,12,7203.92,140.83,63,96198.08,7.19,84.3,3189
1984,91534,1,7253,141.75,63.07,97166.19,7.2,85.5,3215
1984,92150.67,2,7302.08,142.68,63.13,97748.79,7.37,84.8,3243
1984,92767.33,3,7351.17,143.6,63.2,98331.39,7.53,83.7,3263
1984,93384,4,7400.25,144.72,62.87,98914,7.7,82.1,3278
1984,93820.33,5,7449.33,145.83,62.53,99066.68,7.87,81.6,3265
1984,94256.67,6,7498.42,146.95,62.2,99219.36,8.03,82.2,3256
1984,94693,7,7547.5,148.07,62.23,99372.04,8.2,80.9,3242
1984,95784,8,7596.58,149.18,62.27,100358.57,8.37,80.6,3238
1984,96875,9,7645.67,150.3,62.3,101345.11,8.53,82,3233
1984,97966,10,7694.75,151.42,62.57,102331.64,8.7,82.1,3229
1984,98265.33,11,7743.83,152.53,62.83,102566.83,8.87,81.6,3217
1984,98564.67,12,7792.92,153.65,63.1,102802.01,9.03,83,3206
1985,98864,1,7842,154.77,63.3,103037.19,9.2,84.4,3195
1985,100360.67,2,7894.92,155.88,63.5,102891.7,9.09,84.4,3180
1985,101857.33,3,7947.83,157,63.7,102746.21,8.98,86.6,3169
1985,103354,4,8000.75,157.46,64.13,102600.72,8.88,87.3,3156
1985,103881.67,5,8053.67,157.92,64.57,103018.43,8.77,88.2,3152
1985,104409.33,6,8106.58,158.38,65,103436.14,8.66,90,3145
1985,104937,7,8159.5,158.83,64.97,103853.85,8.55,86.6,3139
1985,105682.67,8,8212.42,159.29,64.93,104440.66,8.44,87.3,3137
1985,106428.33,9,8265.33,159.75,64.9,105027.47,8.33,88.9,3135
1985,107174,10,8318.25,160.21,64.9,105614.28,8.23,87.1,3133
1985,107652.67,11,8371.17,160.67,64.9,105566.62,8.12,88.1,3135
1985,108131.33,12,8424.08,161.13,64.9,105518.95,8.01,85.8,3138
1986,108610,1,8477,161.58,65.03,105471.29,7.9,86.9,3143
1986,109164.67,2,8524.33,162.04,65.17,106335.21,7.95,87.6,3150
1986,109719.33,3,8571.67,162.5,65.3,107199.12,8,88.4,3151
1986,110274,4,8619,162.94,65.5,108063.04,8.05,89.5,3154
1986,110871.67,5,8666.33,163.38,65.7,109227.93,8.1,88,3159
1986,111469.33,6,8713.67,163.83,65.9,110392.83,8.15,89.2,3168
1986,112067,7,8761,164.27,65.97,111557.72,8.2,88.5,3175
1986,113198.67,8,8808.33,164.71,66.03,112396.62,8.25,88.5,3177
1986,114330.33,9,8855.67,165.15,66.1,113235.51,8.3,90.7,3171
1986,115462,10,8903,165.59,66.37,114074.4,8.35,91,3165
1986,116314,11,8950.33,166.03,66.63,114841.91,8.4,90.7,3156
1986,117166,12,8997.67,166.48,66.9,115609.42,8.45,91,3150
