Year,Month,Expenditure On R&D,Net Debt,RPI,Output Per Worker,House Prices,Wage - Annual Growth,Infex Of Production,Unemployed,Net Investment By UK Institutions,GDP
1987,1,9045,166.92,100,67,116376.93,8.5,89.3,3134,7178,118018
1987,2,9110.42,167.36,100.4,67.1,117733.96,8.78,92.2,3113,7648.33,119242.67
1987,3,9175.83,167.8,100.6,67.2,119090.99,9.07,91.8,3090,8118.67,120467.33
1987,4,9241.25,167.77,101.8,67.43,120448.02,9.35,91,3061,8589,121692
1987,5,9306.67,167.73,101.9,67.67,121717.94,9.63,92.7,3021,8752.67,123317.33
1987,6,9372.08,167.7,101.9,67.9,122987.87,9.92,92.3,2973,8916.33,124942.67
1987,7,9437.5,167.67,101.8,68.17,124257.79,10.2,94,2929,9080,126568
1987,8,9502.92,167.63,102.1,68.43,123743.69,10.48,93.7,2885,8269.33,127464
1987,9,9568.33,167.6,102.4,68.7,123229.59,10.77,93.1,2838,7458.67,128360
1987,10,9633.75,167.57,102.9,68.73,122715.49,11.05,94.2,2788,6648,129256
1987,11,9699.17,167.53,103.4,68.77,123193.9,11.33,94.1,2741,6028.33,130529.67
1987,12,9764.58,167.5,103.3,68.8,123672.31,11.62,94.9,2697,5408.67,131803.33
1988,1,9830,167.47,103.3,69,124150.72,11.9,95.8,2657,4789,133077
1988,2,9919.5,167.43,103.7,69.2,126618.86,11.88,94.7,2613,5144.67,134020
1988,3,10009,167.4,104.1,69.4,129087.01,11.85,96.2,2569,5500.33,134963
1988,4,10098.5,166.26,105.8,69.4,131555.15,11.83,95.4,2526,5856,135906
1988,5,10188,165.12,106.2,69.4,135733.77,11.8,96.5,2490,5644.33,137465.33
1988,6,10277.5,163.98,106.6,69.4,139912.39,11.78,96.8,2452,5432.67,139024.67
1988,7,10367,162.83,106.7,69.6,144091.01,11.75,97.3,2416,5221,140584
1988,8,10456.5,161.69,107.9,69.8,145635.25,11.73,98.4,2385,5695,142165.67
1988,9,10546,160.55,108.4,70,147179.48,11.7,99.4,2361,6169,143747.33
1988,10,10635.5,159.41,109.5,70.03,148723.72,11.68,98.3,2333,6643,145329
1988,11,10725,158.27,110,70.07,149875.29,11.65,99.3,2293,7326.33,146347
1988,12,10814.5,157.13,110.3,70.1,151026.86,11.63,98.7,2253,8009.67,147365
1989,1,10904,155.98,111,70,152178.44,11.6,99.2,2213,8693,148383
1989,2,10978.67,154.84,111.8,69.9,153009.93,11.52,99.4,2179,8591,149266.67
1989,3,11053.33,153.7,112.3,69.8,153841.42,11.43,98.2,2140,8489,150150.33
1989,4,11128,153.55,114.3,69.8,154672.92,11.35,100.6,2106,8387,151034
1989,5,11202.67,153.4,115,69.8,154625.33,11.27,98,2083,9096.33,152439
1989,6,11277.33,153.25,115.4,69.8,154577.74,11.18,98.1,2071,9805.67,153844
1989,7,11352,153.1,115.5,69.77,154530.16,11.1,98.3,2057,10515,155249
1989,8,11426.67,152.95,115.8,69.73,152493.78,11.02,100.3,2045,9437.33,156404.33
1989,9,11501.33,152.8,116.6,69.7,150457.4,10.93,99.9,2034,8359.67,157559.67
1989,10,11576,152.65,117.5,69.7,148421.02,10.85,99.2,2027,7282,158715
1989,11,11650.67,152.5,118.5,69.7,146049.31,10.77,100.1,2021,6868.33,159752.67
1989,12,11725.33,152.35,118.8,69.7,143677.6,10.68,100,2012,6454.67,160790.33
1990,1,11800,152.2,119.5,69.83,141305.89,10.6,98.9,2006,6041,161828
1990,2,11818.92,152.05,120.2,69.97,138756.01,10.21,98.3,2004,6855.67,163315.67
1990,3,11837.83,151.9,121.4,70.1,136206.13,9.82,99.7,2004,7670.33,164803.33
1990,4,11856.75,151.83,125.1,70.17,133656.26,9.43,100.3,2004,8485,166291
1990,5,11875.67,151.77,126.2,70.23,131635.36,9.03,99.7,2002,7448.67,167332.33
1990,6,11894.58,151.7,126.7,70.3,129614.47,8.64,101.3,2009,6412.33,168373.67
1990,7,11913.5,151.63,126.8,70.13,127593.57,8.25,98.8,2024,5376,169415
1990,8,11932.42,151.57,128.1,69.97,125238.09,7.86,98.9,2049,6800.33,169577
1990,9,11951.33,151.5,129.3,69.8,122882.61,7.47,98.4,2079,8224.67,169739
1990,10,11970.25,151.43,130.3,69.9,120527.12,7.08,98.3,2115,9649,169901
1990,11,11989.17,151.37,130,70,120041.52,6.68,97.8,2158,8962.67,170918
1990,12,12008.08,151.3,129.9,70.1,119555.91,6.29,97.3,2196,8276.33,171935
1991,1,12027,151.23,130.2,70.23,119070.31,5.9,97,2244,7590,172952
1991,2,12055.17,151.17,130.9,70.37,118859.11,5.68,97,2306,8089,173639.67
1991,3,12083.33,151.1,131.4,70.5,118647.92,5.45,96,2378,8588,174327.33
1991,4,12111.5,152.33,133.1,70.73,118436.72,5.23,94.7,2442,9087,175015
1991,5,12139.67,153.55,133.5,70.97,117894.83,5,95.8,2492,8829,175544.67
1991,6,12167.83,154.78,134.1,71.2,117352.94,4.78,96.2,2540,8571,176074.33
1991,7,12196,156,133.8,71.43,116811.05,4.55,95.3,2585,8313,176604
1991,8,12224.17,157.23,134.1,71.67,115546.77,4.33,94.4,2624,8858.33,177455
1991,9,12252.33,158.45,134.6,71.9,114282.49,4.1,94.5,2652,9403.67,178306
1991,10,12280.5,159.68,135.1,72.1,113018.21,3.88,95.7,2675,9949,179157
1991,11,12308.67,160.9,135.6,72.3,111812.4,3.65,95.9,2697,9345,179676.67
1991,12,12336.83,162.13,135.7,72.5,110606.59,3.43,95.5,2714,8741,180196.33
1992,1,12365,163.35,135.6,72.57,109400.78,3.2,95.4,2735,8137,180716
1992,2,12433.67,164.58,136.3,72.63,108966.47,3.14,96,2762,8242.33,180845.33
1992,3,12502.33,165.8,136.7,72.7,108532.16,3.08,95.7,2782,8347.67,180974.67
1992,4,12571,168.81,138.8,72.83,108097.85,3.03,96.2,2796,8453,181104
1992,5,12639.67,171.82,139.3,72.97,107836.21,2.97,94.3,2777,8671.33,181262
1992,6,12708.33,174.83,139.3,73.1,107574.57,2.91,95.3,2803,8889.67,181420
1992,7,12777,177.83,138.8,73.37,107312.93,2.85,96.1,2816,9108,181578
1992,8,12845.67,180.84,138.9,73.63,105744.56,2.79,96,2815,9090.33,182574.33
1992,9,12914.33,183.85,139.4,73.9,104176.18,2.73,96.7,2850,9072.67,183570.67
1992,10,12983,186.86,139.9,74.23,102607.81,2.68,97.6,2899,9055,184567
1992,11,13051.67,189.87,139.7,74.57,102802.51,2.62,96.3,2932,9995,186028.33
1992,12,13120.33,192.88,139.2,74.9,102997.2,2.56,96.3,2983,10935,187489.67
1993,1,13189,195.88,137.9,75.1,103191.9,2.5,96.4,3023,11875,188951
1993,2,13230.25,198.89,138.8,75.3,103863.75,2.6,97.7,3004,11604.33,189108
1993,3,13271.5,201.9,139.3,75.5,104535.6,2.7,96.9,2988,11333.67,189265
1993,4,13312.75,210.1,140.6,75.63,105207.45,2.8,97,2952,11063,189422
