Year,RPI,GDP
1987,100,118018
1987,100.4,119242.67
1987,100.6,120467.33
1987,101.8,121692
1987,101.9,123317.33
1987,101.9,124942.67
1987,101.8,126568
1987,102.1,127464
1987,102.4,128360
1987,102.9,129256
1987,103.4,130529.67
1987,103.3,131803.33
1988,103.3,133077
1988,103.7,134020
1988,104.1,134963
1988,105.8,135906
1988,106.2,137465.33
1988,106.6,139024.67
1988,106.7,140584
1988,107.9,142165.67
1988,108.4,143747.33
1988,109.5,145329
1988,110,146347
1988,110.3,147365
1989,111,148383
1989,111.8,149266.67
1989,112.3,150150.33
1989,114.3,151034
1989,115,152439
1989,115.4,153844
1989,115.5,155249
1989,115.8,156404.33
1989,116.6,157559.67
1989,117.5,158715
1989,118.5,159752.67
1989,118.8,160790.33
1990,119.5,161828
1990,120.2,163315.67
1990,121.4,164803.33
1990,125.1,166291
1990,126.2,167332.33
1990,126.7,168373.67
1990,126.8,169415
1990,128.1,169577
1990,129.3,169739
1990,130.3,169901
1990,130,170918
1990,129.9,171935
1991,130.2,172952
1991,130.9,173639.67
1991,131.4,174327.33
1991,133.1,175015
1991,133.5,175544.67
1991,134.1,176074.33
1991,133.8,176604
1991,134.1,177455
1991,134.6,178306
1991,135.1,179157
1991,135.6,179676.67
1991,135.7,180196.33
1992,135.6,180716
1992,136.3,180845.33
1992,136.7,180974.67
1992,138.8,181104
1992,139.3,181262
1992,139.3,181420
1992,138.8,181578
1992,138.9,182574.33
1992,139.4,183570.67
1992,139.9,184567
1992,139.7,186028.33
1992,139.2,187489.67
1993,137.9,188951
1993,138.8,189108
1993,139.3,189265
1993,140.6,189422
1993,141.1,190562.33
1993,141,191702.67
1993,140.7,192843
1993,141.3,193626
1993,141.9,194409
1993,141.8,195192
1993,141.6,196168.33
1993,141.9,197144.67
1994,141.3,198121
1994,142.1,198701.67
1994,142.5,199282.33
1994,144.2,199863
1994,144.7,200611
1994,144.7,201359
1994,144,202107
1994,144.7,203514.33
1994,145,204921.67
1994,145.2,206329
1994,145.3,206594.67
1994,146,206860.33
1995,146,207126
1995,146.9,207981
1995,147.5,208836
1995,149,209691
1995,149.6,210974
1995,149.8,212257
1995,149.1,213540
1995,149.9,214419.67
1995,150.6,215299.33
1995,149.8,216179
1995,149.8,217567
1995,150.7,218955
1996,150.2,220343
1996,150.9,221892
1996,151.5,223441
1996,152.6,224990
1996,152.9,225974
1996,153,226958
1996,152.4,227942
1996,153.1,228680.33
1996,153.8,229418.67
1996,153.8,230157
1996,153.9,230945.33
1996,154.4,231733.67
1997,154.4,232522
1997,155,233363.67
1997,155.4,234205.33
1997,156.3,235047
1997,156.9,237258.33
1997,157.5,239469.67
1997,157.5,241681
1997,158.5,241021.67
1997,159.3,240362.33
1997,159.5,239703
1997,159.6,240835.67
1997,160,241968.33
1998,159.5,243101
1998,160.3,243887.33
1998,160.8,244673.67
1998,162.6,245460
1998,163.5,246252.33
1998,163.4,247044.67
1998,163,247837
1998,163.7,250171.33
1998,164.4,252505.67
1998,164.5,254840
1998,164.4,255349
1998,164.4,255858
1999,163.4,256367
1999,163.7,255811
1999,164.1,255255
1999,165.2,254699
1999,165.6,255793.33
1999,165.6,256887.67
1999,165.1,257982
1999,165.5,259358
1999,166.2,260734
1999,166.5,262110
1999,166.7,264140.67
1999,167.3,266171.33
2000,166.6,268202
2000,167.5,269425.33
2000,168.4,270648.67
2000,170.1,271872
2000,170.7,272619.67
2000,171.1,273367.33
2000,170.5,274115
2000,170.5,274460.67
2000,171.7,274806.33
2000,171.6,275152
2000,172.1,275947.67
2000,172.2,276743.33
2001,171.1,277539
2001,172,279205.33
2001,172.2,280871.67
2001,173.1,282538
2001,174.2,282838.67
2001,174.4,283139.33
2001,173.3,283440
2001,174,284268.67
2001,174.6,285097.33
2001,174.3,285926
2001,173.6,287120
2001,173.4,288314
2002,173.3,289508
2002,173.8,290711.33
2002,174.5,291914.67
2002,175.7,293118
2002,176.2,294596.33
2002,176.2,296074.67
2002,175.9,297553
2002,176.4,299294.33
2002,177.6,301035.67
2002,177.9,302777
2002,178.2,304233.67
2002,178.5,305690.33
2003,178.4,307147
2003,179.3,308041.67
2003,179.9,308936.33
2003,181.2,309831
2003,181.5,311405.33
2003,181.3,312979.67
2003,181.3,314554
2003,181.6,316474.33
2003,182.5,318394.67
2003,182.6,320315
2003,182.7,321147.33
2003,183.5,321979.67
2004,183.1,322812
2004,183.8,324604
2004,184.6,326396
2004,185.7,328188
2004,186.5,328614.67
2004,186.8,329041.33
2004,186.8,329468
2004,187.4,330440.67
2004,188.1,331413.33
2004,188.6,332386
2004,189,333906.33
2004,189.9,335426.67
2005,188.9,336947
2005,189.6,339838.33
2005,190.5,342729.67
2005,191.6,345621
2005,192,346728.67
2005,192.2,347836.33
2005,192.2,348944
2005,192.6,351709.67
2005,193.1,354475.33
2005,193.3,357241
2005,193.6,358449.67
2005,194.1,359658.33
2006,193.4,360867
2006,194.2,362079
2006,195,363291
2006,196.5,364503
2006,197.7,365845
2006,198.5,367187
2006,198.5,368529
2006,199.2,369687
2006,200.1,370845
2006,200.4,372003
2006,201.1,373944.33
2006,202.7,375885.67
2007,201.6,377827
2007,203.1,379089.67
2007,204.4,380352.33
2007,205.4,381615
2007,206.2,383918
2007,207.3,386221
2007,206.1,388524
2007,207.3,390174.67
2007,208,391825.33
2007,208.9,393476
2007,209.7,395329
2007,210.9,397182
2008,209.8,399035
2008,211.4,398381.67
2008,212.1,397728.33
2008,214,397075
2008,215.1,396258.67
2008,216.8,395442.33
2008,216.5,394626
2008,217.2,392770.67
2008,218.4,390915.33
2008,217.7,389060
2008,216,386994.67
2008,212.9,384929.33
2009,210.1,382864
2009,211.4,382728.33
2009,211.3,382592.67
2009,211.5,382457
2009,212.8,383461
2009,213.4,384465
2009,213.4,385469
2009,214.4,385787
2009,215.3,386105
2009,216,386423
2009,216.6,387996
2009,218,389569
2010,217.9,391142
2010,219.2,393177.33
2010,220.7,395212.67
2010,222.8,397248
2010,223.6,397464.33
2010,224.1,397680.67
2010,223.6,397897
2010,224.5,398991
2010,225.3,400085
2010,225.8,401179
2010,226.8,404501.33
2010,228.4,407823.67
2011,229,411146
2011,231.3,410359.67
2011,232.5,409573.33
2011,234.4,408787
2011,235.2,409278.67
2011,235.2,409770.33
2011,234.7,410262
2011,236.1,411625
2011,237.9,412988
2011,238,414351
2011,238.5,415401.33
2011,239.4,416451.67
2012,238,417502
2012,239.9,417700.67
2012,240.8,417899.33
2012,242.5,418098
2012,242.4,421648
2012,241.8,425198
2012,242.1,428748
2012,243,429188.33
2012,244.2,429628.67
2012,245.6,430069
2012,245.6,431042.33
2012,246.8,432015.67
2013,245.8,432989
2013,247.6,434095
2013,248.7,435201
2013,249.5,436307
2013,250,438986.67
2013,249.7,441666.33
2013,249.7,444346
2013,251,445465.67
2013,251.9,446585.33
2013,251.9,447705
2013,252.1,449764.33
2013,253.4,451823.67
2014,252.6,453883
2014,254.2,456154
2014,254.8,458425
2014,255.7,460696
2014,255.9,462040.67
2014,256.3,463385.33
2014,256,464730
2014,257,464815.33
2014,257.6,464900.67
2014,257.7,464986
2014,257.1,465755.67
2014,257.5,466525.33
2015,255.4,467295
2015,256.7,469939.67
2015,257.1,472584.33
2015,258,475229
2015,258.5,475333
2015,258.9,475437
2015,258.6,475541
2015,259.8,476285.33
2015,259.6,477029.67
2015,259.5,477774
2015,259.8,480291.33
2015,260.6,482808.67
2016,258.8,485326
2016,260,486715.33
2016,261.1,488104.67
2016,261.4,489494
2016,262.1,490906
2016,263.1,492318
2016,263.4,493730
2016,264.4,496144.67
2016,264.9,498559.33
2016,264.8,500974
2016,265.5,502992
2016,267.1,505010
2017,265.5,507028
2017,268.4,507641.67
2017,269.3,508255.33
2017,270.6,508869
2017,271.7,510665.33
2017,272.3,512461.67
2017,272.9,514258
2017,274.7,515996.67
2017,275.1,517735.33
2017,275.3,519474
2017,275.8,520444
2017,278.1,521414
2018,276,522384
2018,278.1,524082.33
2018,278.3,525780.67
2018,279.7,527479
2018,280.7,529301
2018,281.5,531123
2018,281.7,532945
2018,284.2,532946
2018,284.1,532947
2018,284.5,533858.5
2018,284.6,534405.8
2018,285.6,534953.1
