Year,Expenditure On R&D,GDP,House Prices
1989,10904,148383,152178.44
1989,10978.67,149266.67,153009.93
1989,11053.33,150150.33,153841.42
1989,11128,151034,154672.92
1989,11202.67,152439,154625.33
1989,11277.33,153844,154577.74
1989,11352,155249,154530.16
1989,11426.67,156404.33,152493.78
1989,11501.33,157559.67,150457.4
1989,11576,158715,148421.02
1989,11650.67,159752.67,146049.31
1989,11725.33,160790.33,143677.6
1990,11800,161828,141305.89
1990,11818.92,163315.67,138756.01
1990,11837.83,164803.33,136206.13
1990,11856.75,166291,133656.26
1990,11875.67,167332.33,131635.36
1990,11894.58,168373.67,129614.47
1990,11913.5,169415,127593.57
1990,11932.42,169577,125238.09
1990,11951.33,169739,122882.61
1990,11970.25,169901,120527.12
1990,11989.17,170918,120041.52
1990,12008.08,171935,119555.91
1991,12027,172952,119070.31
1991,12055.17,173639.67,118859.11
1991,12083.33,174327.33,118647.92
1991,12111.5,175015,118436.72
1991,12139.67,175544.67,117894.83
1991,12167.83,176074.33,117352.94
1991,12196,176604,116811.05
1991,12224.17,177455,115546.77
1991,12252.33,178306,114282.49
1991,12280.5,179157,113018.21
1991,12308.67,179676.67,111812.4
1991,12336.83,180196.33,110606.59
1992,12365,180716,109400.78
1992,12433.67,180845.33,108966.47
1992,12502.33,180974.67,108532.16
1992,12571,181104,108097.85
1992,12639.67,181262,107836.21
1992,12708.33,181420,107574.57
1992,12777,181578,107312.93
1992,12845.67,182574.33,105744.56
1992,12914.33,183570.67,104176.18
1992,12983,184567,102607.81
1992,13051.67,186028.33,102802.51
1992,13120.33,187489.67,102997.2
1993,13189,188951,103191.9
1993,13230.25,189108,103863.75
1993,13271.5,189265,104535.6
1993,13312.75,189422,105207.45
1993,13354,190562.33,104992.4
1993,13395.25,191702.67,104777.36
1993,13436.5,192843,104562.31
1993,13477.75,193626,103972.01
1993,13519,194409,103381.71
1993,13560.25,195192,102791.41
1993,13601.5,196168.33,102928.69
1993,13642.75,197144.67,103065.97
1994,13684,198121,103203.26
1994,13713.17,198701.67,102631.26
1994,13742.33,199282.33,102059.27
1994,13771.5,199863,101487.28
1994,13800.67,200611,101706.88
1994,13829.83,201359,101926.47
1994,13859,202107,102146.07
1994,13888.17,203514.33,102185.62
1994,13917.33,204921.67,102225.17
1994,13946.5,206329,102264.72
1994,13975.67,206594.67,101295.42
1994,14004.83,206860.33,100326.11
1995,14034,207126,99356.81
1995,14068.42,207981,99108.14
1995,14102.83,208836,98859.48
1995,14137.25,209691,98610.81
1995,14171.67,210974,98333.26
1995,14206.08,212257,98055.71
1995,14240.5,213540,97778.15
1995,14274.92,214419.67,97478.56
1995,14309.33,215299.33,97178.97
1995,14343.75,216179,96879.38
1995,14378.17,217567,96983.79
1995,14412.58,218955,97088.21
1996,14447,220343,97192.63
1996,14467,221892,97826.85
1996,14487,223441,98461.07
1996,14507,224990,99095.29
1996,14527,225974,99637.29
1996,14547,226958,100179.29
1996,14567,227942,100721.29
1996,14587,228680.33,101242.59
1996,14607,229418.67,101763.89
1996,14627,230157,102285.19
1996,14647,230945.33,102475.45
1996,14667,231733.67,102665.71
1997,14687,232522,102855.98
1997,14755,233363.67,103997.24
1997,14823,234205.33,105138.5
1997,14891,235047,106279.76
1997,14959,237258.33,107349.19
1997,15027,239469.67,108418.61
