Date,GDP,Unemployment Rate (%),CPI inflation, Economically Inactive: UK:  All: Aged 16-64: Thousands,Net investment by UK financial institutions,Retail Price Index,RPI All Items: Percentage change
01/01/1989,148383,7.7,4.9,7985,8693,111,7.5
01/02/1989,148383,7.6,5,7949,8693,111.8,7.8
01/03/1989,148383,7.4,5,7933,8693,112.3,7.9
01/04/1989,151034,7.3,5.3,7930,8387,114.3,8
01/05/1989,151034,7.2,5.3,7936,8387,115,8.3
01/06/1989,151034,7.2,5.2,7934,8387,115.4,8.3
01/07/1989,155249,7.1,5.2,7938,10515,115.5,8.2
01/08/1989,155249,7.1,5,7930,10515,115.8,7.3
01/09/1989,155249,7.1,5.2,7920,10515,116.6,7.6
01/10/1989,158715,7,5.5,7901,7282,117.5,7.3
01/11/1989,158715,7,5.5,7887,7282,118.5,7.7
01/12/1989,158715,7,5.5,7891,7282,118.8,7.7
01/01/1990,161828,6.9,5.7,7890,6041,119.5,7.7
01/02/1990,161828,6.9,5.9,7897,6041,120.2,7.5
01/03/1990,161828,6.9,6,7892,6041,121.4,8.1
01/04/1990,166291,6.9,6.4,7883,8485,125.1,9.4
01/05/1990,166291,6.9,6.8,7877,8485,126.2,9.7
01/06/1990,166291,6.9,6.9,7875,8485,126.7,9.8
01/07/1990,169415,7,6.8,7874,5376,126.8,9.8
01/08/1990,169415,7.1,7.7,7889,5376,128.1,10.6
01/09/1990,169415,7.2,8.1,7906,5376,129.3,10.9
01/10/1990,169901,7.3,8.1,7919,9649,130.3,10.9
01/11/1990,169901,7.5,7.8,7934,9649,130,9.7
01/12/1990,169901,7.6,7.6,7965,9649,129.9,9.3
01/01/1991,172952,7.8,7.1,7984,7590,130.2,9
01/02/1991,172952,8,7,8005,7590,130.9,8.9
01/03/1991,172952,8.2,6.9,8017,7590,131.4,8.2
01/04/1991,175015,8.5,8.4,8036,9087,133.1,6.4
01/05/1991,175015,8.7,8.2,8083,9087,133.5,5.8
01/06/1991,175015,8.8,8.4,8118,9087,134.1,5.8
01/07/1991,176604,9,8.3,8149,8313,133.8,5.5
01/08/1991,176604,9.2,7.9,8186,8313,134.1,4.7
