Date,GDP (£),Unemployed (1000s),CPI, Economically Inactive: UK:  All: Aged 16-64 (1000s),Net investment by UK financial institutions (£),Retail Price Index,Manufacturing: CVMSA,Unemployed (1000s),Construction Output
32509,148383,2213,49.5,7985,8693,111,97.4,,3226
32540,148383,2179,49.7,7949,8693,111.8,97.4,,3226
32568,148383,2140,50,7933,8693,112.3,96.4,,3226
32599,151034,2106,50.5,7930,8387,114.3,97.8,,3470
32629,151034,2083,50.9,7936,8387,115,97.3,,3470
32660,151034,2071,51,7934,8387,115.4,96.1,,3470
32690,155249,2057,51,7938,10515,115.5,96.6,,3846
32721,155249,2045,51.1,7930,10515,115.8,97.5,,3846
32752,155249,2034,51.5,7920,10515,116.6,97.4,,3846
32782,158715,2027,51.9,7901,7282,117.5,96.9,,3905
32813,158715,2021,52.1,7887,7282,118.5,97.4,,3905
32843,158715,2012,52.2,7891,7282,118.8,97.5,,3905
32874,161828,2006,52.4,7890,6041,119.5,97.2,,3967
32905,161828,2004,52.9,7897,6041,120.2,96.9,,3967
32933,161828,2004,53.1,7892,6041,121.4,98.3,,3967
32964,166291,2004,54.4,7883,8485,125.1,98,,4256
32994,166291,2002,55,7877,8485,126.2,98.2,,4256
33025,166291,2009,55.2,7875,8485,126.7,97.9,,4256
33055,169415,2024,55.2,7874,5376,126.8,97,,4261
33086,169415,2049,55.7,7889,5376,128.1,97.4,,4261
33117,169415,2079,56.2,7906,5376,129.3,96.4,,4261
33147,169901,2115,56.7,7919,9649,130.3,96.3,,3917
33178,169901,2158,56.9,7934,9649,130,95.6,,3917
33208,169901,2196,57,7965,9649,129.9,95.1,,3917
33239,172952,2244,57,7984,7590,130.2,95.2,,3580
33270,172952,2306,57.2,8005,7590,130.9,93.3,,3580
33298,172952,2378,57.5,8017,7590,131.4,92.9,,3580
33329,175015,2442,58.7,8036,9087,133.1,92,,3458
33359,175015,2492,59.2,8083,9087,133.5,92.7,,3458
33390,175015,2540,59.5,8118,9087,134.1,91.5,,3458
33420,176604,2585,59.3,8149,8313,133.8,91.5,,3316
33451,176604,2624,59.9,8186,8313,134.1,90.8,,3316
33482,176604,2652,60.1,8229,8313,134.6,91,,3316
33512,179157,2675,60.4,8278,9949,135.1,91.5,,3062
33543,179157,2697,60.5,8317,9949,135.6,91.9,,3062
33573,179157,2714,60.7,8356,9949,135.7,91.6,,3062
33604,180716,2735,60.5,8378,8137,135.6,91.6,,2762
33635,180716,2762,60.8,8383,8137,136.3,92.1,,2762
33664,180716,2782,61.1,8398,8137,136.7,92.2,,2762
33695,181104,2796,61.8,8428,8453,138.8,92.4,571,2680
33725,181104,2777,62.2,8481,8453,139.3,90.8,572,2680
33756,181104,2803,62.2,8507,8453,139.3,92.8,572,2680
33786,181578,2816,62,8501,9108,138.8,92.8,574,2490
33817,181578,2815,62.1,8512,9108,138.9,92.1,584,2490
33848,181578,2850,62.3,8526,9108,139.4,92.1,583,2490
33878,184567,2899,62.5,8511,9055,139.9,92.7,580,2154
33909,184567,2932,62.5,8536,9055,139.7,91.8,564,2154
33939,184567,2983,62.6,8519,9055,139.2,91.8,566,2154
33970,188951,3023,62.4,8507,11875,137.9,92.8,556,1898
34001,188951,3004,62.7,8519,11875,138.8,94,555,1898
34029,188951,2988,63,8557,11875,139.3,93.6,553,1898
34060,189422,2952,63.4,8557,11063,140.6,93.7,565,1964
34090,189422,2931,63.6,8565,11063,141.1,93.8,562,1964
34121,189422,2927,63.6,8565,11063,141,92.4,565,1964
34151,192843,2906,63.4,8606,12153,140.7,93.3,548,2087
34182,192843,2890,63.7,8583,12153,141.3,93,533,2087
34213,192843,2892,64,8586,12153,141.9,93.5,510,2087
34243,195192,2885,64,8589,12854,141.8,92.8,507,2089
34274,195192,2892,63.8,8585,12854,141.6,93.6,499,2089
34304,195192,2892,64,8585,12854,141.9,94.6,500,2089
34335,198121,2845,64,8587,17284,141.3,95.4,497,1972
34366,198121,2806,64.2,8580,17284,142.1,95.4,492,1972
34394,198121,2769,64.4,8586,17284,142.5,96,475,1972
34425,199863,2750,64.9,8607,11361,144.2,96.8,456,2126
34455,199863,2736,65.1,8626,11361,144.7,98.1,454,2126
34486,199863,2705,65.1,8600,11361,144.7,97.1,443,2126
34516,202107,2691,64.7,8622,14042,144,98,439,2332
34547,202107,2639,65.1,8643,14042,144.7,98.2,435,2332
34578,202107,2608,65.2,8682,14042,145,98.9,429,2332
34608,206329,2556,65.1,8721,8316,145.2,99.4,417,2430
34639,206329,2521,65.2,8761,8316,145.3,99.9,413,2430
34669,206329,2497,65.5,8805,8316,146,100.5,405,2430
34700,207126,2496,65.5,8767,7853,146,98.2,396,2150
34731,207126,2497,65.7,8736,7853,146.9,98.8,391,2150
34759,207126,2490,66,8719,7853,147.5,98.1,384,2150
34790,209691,2473,66.4,8709,8817,149,99.2,392,2378
34820,209691,2445,66.7,8717,8817,149.6,99.3,395,2378
34851,209691,2448,66.8,8691,8817,149.8,99.5,392,2378
34881,213540,2439,66.6,8657,13748,149.1,99.6,392,2554
34912,213540,2447,66.9,8647,13748,149.9,99.8,378,2554
34943,213540,2438,67.2,8647,13748,150.6,99.5,389,2554
34973,216179,2421,67.1,8657,11970,149.8,100,397,2604
35004,216179,2353,67.1,8643,11970,149.8,99.9,397,2604
