,GDP(t-3),Unemployed(t-3),CPI(t-3), Economically Inactive(t-3),NetInvestment (t-3),RPI(t-3),Manufacturing(t-3),GDP(t-2),Unemployed(t-2),CPI(t-2), Economically Inactive(t-2),NetInvestment (t-2),RPI(t-2),Manufacturing(t-2),GDP(t-1),Unemployed(t-1),CPI(t-1), Economically Inactive(t-1),NetInvestment (t-1),RPI(t-1),Manufacturing(t-1),GDP
0,151034.0,2106.0,50.5,7930.0,8387.0,114.3,97.8,148383.0,2140.0,50.0,7933.0,8693.0,112.3,96.4,148383.0,2179.0,49.7,7949.0,8693.0,111.8,97.4,148383
1,151034.0,2083.0,50.9,7936.0,8387.0,115.0,97.3,151034.0,2106.0,50.5,7930.0,8387.0,114.3,97.8,148383.0,2140.0,50.0,7933.0,8693.0,112.3,96.4,148383
2,151034.0,2071.0,51.0,7934.0,8387.0,115.4,96.1,151034.0,2083.0,50.9,7936.0,8387.0,115.0,97.3,151034.0,2106.0,50.5,7930.0,8387.0,114.3,97.8,148383
3,155249.0,2057.0,51.0,7938.0,10515.0,115.5,96.6,151034.0,2071.0,51.0,7934.0,8387.0,115.4,96.1,151034.0,2083.0,50.9,7936.0,8387.0,115.0,97.3,151034
4,155249.0,2045.0,51.1,7930.0,10515.0,115.8,97.5,155249.0,2057.0,51.0,7938.0,10515.0,115.5,96.6,151034.0,2071.0,51.0,7934.0,8387.0,115.4,96.1,151034
5,155249.0,2034.0,51.5,7920.0,10515.0,116.6,97.4,155249.0,2045.0,51.1,7930.0,10515.0,115.8,97.5,155249.0,2057.0,51.0,7938.0,10515.0,115.5,96.6,151034
6,158715.0,2027.0,51.9,7901.0,7282.0,117.5,96.9,155249.0,2034.0,51.5,7920.0,10515.0,116.6,97.4,155249.0,2045.0,51.1,7930.0,10515.0,115.8,97.5,155249
7,158715.0,2021.0,52.1,7887.0,7282.0,118.5,97.4,158715.0,2027.0,51.9,7901.0,7282.0,117.5,96.9,155249.0,2034.0,51.5,7920.0,10515.0,116.6,97.4,155249
8,158715.0,2012.0,52.2,7891.0,7282.0,118.8,97.5,158715.0,2021.0,52.1,7887.0,7282.0,118.5,97.4,158715.0,2027.0,51.9,7901.0,7282.0,117.5,96.9,155249
9,161828.0,2006.0,52.4,7890.0,6041.0,119.5,97.2,158715.0,2012.0,52.2,7891.0,7282.0,118.8,97.5,158715.0,2021.0,52.1,7887.0,7282.0,118.5,97.4,158715
10,161828.0,2004.0,52.9,7897.0,6041.0,120.2,96.9,161828.0,2006.0,52.4,7890.0,6041.0,119.5,97.2,158715.0,2012.0,52.2,7891.0,7282.0,118.8,97.5,158715
11,161828.0,2004.0,53.1,7892.0,6041.0,121.4,98.3,161828.0,2004.0,52.9,7897.0,6041.0,120.2,96.9,161828.0,2006.0,52.4,7890.0,6041.0,119.5,97.2,158715
12,166291.0,2004.0,54.4,7883.0,8485.0,125.1,98.0,161828.0,2004.0,53.1,7892.0,6041.0,121.4,98.3,161828.0,2004.0,52.9,7897.0,6041.0,120.2,96.9,161828
13,166291.0,2002.0,55.0,7877.0,8485.0,126.2,98.2,166291.0,2004.0,54.4,7883.0,8485.0,125.1,98.0,161828.0,2004.0,53.1,7892.0,6041.0,121.4,98.3,161828
